id,authors,year,title,venue,doi,domain,member,output,mechanism,justification,clash,dim,obstacles,validation,n_cases,claim,limitation,relevance,gap_note,verified,url
liu2020apf,(저자 확인 필요),2020,Intelligent rebar layout in RC building frames using artificial potential field,Automation in Construction 114,,RC,joint,R,FIELD,GEO,CONSTR,3D,rebar,case,,철근을 에이전트로 보고 APF 로 충돌 없는 이동경로를 만든다,목표점을 외부에서 지정한 상수점으로 둔다,5,H3 의 직접 비교 대상. 생성시 회피 칸을 이미 차지,search,https://www.sciencedirect.com/science/article/abs/pii/S0926580519304339
xu2022apf,(저자 확인 필요),2022,Automated steel reinforcement detailing in reinforced concrete frames using evolutionary optimization and artificial potential field,Automation in Construction 138:104224,,RC,frame,R,FIELD,GEO,CONSTR,3D,rebar,case,,APF+NFO 로 국소최소 탈출; 재료비·시공편의 목적함수로 조합 최적화,목표점 생성 아님; 역학 목적함수 아님,5,장+최적화 결합 선례,search,
ieee2018apf,"Liu, Xu, Ao, Feng, Wu",2018,Study Artificial Potential Field on the Clash Free Layout of Rebar in Reinforced Concrete Beam-Column Joints,ICARCV 2018,10.1109/ICARCV.2018.8581082,RC,joint,R,FIELD,GEO,CONSTR,3D,rebar,example,,APF 로 접합부 무간섭 배근,,4,APF 계열 초기 연구,search,https://ieeexplore.ieee.org/document/8581082/
liu2021decomp,Liu et al.,2021,Automatic and optimal rebar layout in reinforced concrete structure by decomposed optimization algorithms,Automation in Construction,,RC,frame,P,OPT,GEO,POST,3D,rebar,case,,분해 PSO 로 배근 자동·최적화,,4,최적화 계열 대표,search,https://www.sciencedirect.com/science/article/abs/pii/S0926580521001060
gnn2022,(저자 확인 필요),2022,Automated structural design optimization of steel reinforcement using graph neural network and exploratory genetic algorithms,Automation in Construction,,RC,frame,P,LEARN,CODE,POST,3D,rebar,case,,GNN+EGA 로 무간섭 배근; 계산시간 75-90% 절감,,4,학습 계열 대표,search,https://www.sciencedirect.com/science/article/abs/pii/S0926580522005477
gnn2025avoid,(저자 확인 필요),2025,Automatic clash avoidance in steel reinforcement design using explainable graph neural networks and rebar embedding learning,Automation in Construction,,RC,frame,P,LEARN,CODE,CONSTR,3D,rebar,case,,사전적(proactive) 간섭 회피; 해결가능/불가능 분류,,5,avoidance-by-construction 을 이미 표방,search,https://www.sciencedirect.com/science/article/abs/pii/S0926580525002018
ga2021clashfree,(저자 확인 필요),2021,Automated clash-free optimization of steel reinforcement in RC frame structures using BIM and two-stage genetic algorithm,Automation in Construction,,RC,frame,P,OPT,CODE,POST,3D,rebar,case,,2단계 GA 로 무간섭 최적화,,4,최적화+간섭 계열,search,https://www.sciencedirect.com/science/article/abs/pii/S0926580521001278
qlearn2020,(저자 확인 필요),2020,Automated clash resolution for reinforcement steel design in concrete frames via Q-learning and BIM,Automation in Construction,,RC,frame,P,LEARN,CODE,POST,3D,rebar,case,,Q-learning 으로 간섭 해소,생성 후 수정(detect-and-fix),4,detect-and-fix 계열 baseline 후보,search,https://www.researchgate.net/publication/339134197
gan2019precast,Liu & Liu,2019,Automated Clash Free Rebar Design in Precast Concrete Exterior Wall via GAN and Multi-agent Reinforcement Learning,ISARC/Springer,,PC,wall,P,LEARN,NONE,CONSTR,3D,rebar,example,,GAN+MARL 로 무간섭 배근 생성,,3,학습 계열,search,https://link.springer.com/chapter/10.1007/978-3-030-20454-9_54
autolayout2025,(저자 확인 필요),2025,Development of automatic rebar layout algorithms considering design characteristics of reinforced concrete members,ScienceDirect (S209044792500108X),,RC,member,P,RULE,CODE,NONE,3D,none,case,,부재 설계특성을 반영한 배근 자동화 알고리즘,,4,규칙 계열 최신,search,https://www.sciencedirect.com/science/article/pii/S209044792500108X
